Symbol,Sector,Sub-Industry,Headquarter,Founded
PRU,Financials,Life & Health Insurance,"Newark, New Jersey",1875
PEG,Utilities,Electric Utilities,"Newark, New Jersey",1903
PTC,Information Technology,Application Software,"Boston, Massachusetts",1985
PSA,Real Estate,Self-Storage REITs,"Glendale, California",1972
PHM,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956
QRVO,Information Technology,Semiconductors,"Greensboro, North Carolina",2015
PWR,Industrials,Construction & Engineering,"Houston, Texas",1997
QCOM,Information Technology,Semiconductors,"San Diego, California",1985
DGX,Health Care,Health Care Services,"Secaucus, New Jersey",1967
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967
RJF,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962
RTX,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
O,Real Estate,Retail REITs,"San Diego, California",1969
REG,Real Estate,Retail REITs,"Jacksonville, Florida",1963
REGN,Health Care,Biotechnology,"Tarrytown, New York",1988
RF,Financials,Regional Banks,"Birmingham, Alabama",1971
RSG,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998
